Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
2E2,AF40,2E2,0000,000,0000,000,0000,0000,004,0100
2E2,AF40,2E3,AF40,2E2,0040,000,0040,0040,000,0000
2E3,0680,2E4,0680,2E3,0680,000,02E3,4000,000,0000
2E4,0500,2E5,0500,2E4,4000,000,02E4,8000,00A,1010
2E5,EEFB,2E6,EEFB,2E1,8000,000,FFFB,8000,00A,1010,2E1,8000
2E6,AF05,2E7,AF05,2E6,0005,000,0005,0005,000,0000
2E7,EEF8,2E8,EEF8,2E0,0005,000,FFF8,0005,000,0000,2E0,0005
2E8,AEF5,2E9,AEF5,2DE,02F5,000,FFF5,02F5,000,0000
2E9,EEF5,2EA,EEF5,2DF,02F5,000,FFF5,02F5,000,0000,2DF,02F5
2EA,AAF4,2EB,AAF4,2F5,FFFF,000,FFF4,FFFF,008,1000,2DF,02F6
2EB,0480,2EC,0480,2EB,0480,000,02EB,7FFF,003,0011
2EC,F401,2EE,F401,2EC,F401,000,0001,7FFF,003,0011
2EE,0400,2EF,0400,2EE,0400,000,02EE,FFFF,00A,1010
2EF,7EF1,2F0,7EF1,2E1,8000,000,FFF1,FFFF,001,0001
2F0,F801,2F1,F801,2F0,F801,000,02F0,FFFF,001,0001
2F1,EEEF,2F2,EEEF,2E1,FFFF,000,FFEF,FFFF,001,0001,2E1,FFFF
2F2,82E0,2F3,82E0,2E0,0004,000,0003,FFFF,001,0001,2E0,0004
2F3,CEF6,2EA,CEF6,2F3,02EA,000,FFF6,FFFF,001,0001
2EA,AAF4,2EB,AAF4,2F6,EDAA,000,FFF4,EDAA,009,1001,2DF,02F7
2EB,0480,2EC,0480,2EB,0480,000,02EB,F6D5,00A,1010
2EC,F401,2ED,F401,2EC,F401,000,02EC,F6D5,00A,1010
2ED,CE04,2F2,CE04,2ED,02F2,000,0004,F6D5,00A,1010
2F2,82E0,2F3,82E0,2E0,0003,000,0002,F6D5,00A,1010,2E0,0003
2F3,CEF6,2EA,CEF6,2F3,02EA,000,FFF6,F6D5,00A,1010
2EA,AAF4,2EB,AAF4,2F7,0771,000,FFF4,0771,000,0000,2DF,02F8
2EB,0480,2EC,0480,2EB,0480,000,02EB,03B8,003,0011
2EC,F401,2EE,F401,2EC,F401,000,0001,03B8,003,0011
2EE,0400,2EF,0400,2EE,0400,000,02EE,0771,000,0000
2EF,7EF1,2F0,7EF1,2E1,FFFF,000,FFF1,0771,000,0000
2F0,F801,2F1,F801,2F0,F801,000,02F0,0771,000,0000
2F1,EEEF,2F2,EEEF,2E1,0771,000,FFEF,0771,000,0000,2E1,0771
2F2,82E0,2F3,82E0,2E0,0002,000,0001,0771,000,0000,2E0,0002
2F3,CEF6,2EA,CEF6,2F3,02EA,000,FFF6,0771,000,0000
2EA,AAF4,2EB,AAF4,2F8,BAAB,000,FFF4,BAAB,008,1000,2DF,02F9
2EB,0480,2EC,0480,2EB,0480,000,02EB,5D55,003,0011
2EC,F401,2EE,F401,2EC,F401,000,0001,5D55,003,0011
2EE,0400,2EF,0400,2EE,0400,000,02EE,BAAB,00A,1010
2EF,7EF1,2F0,7EF1,2E1,0771,000,FFF1,BAAB,009,1001
2F0,F801,2F2,F801,2F0,F801,000,0001,BAAB,009,1001
2F2,82E0,2F3,82E0,2E0,0001,000,0000,BAAB,009,1001,2E0,0001
2F3,CEF6,2EA,CEF6,2F3,02EA,000,FFF6,BAAB,009,1001
2EA,AAF4,2EB,AAF4,2F9,6666,000,FFF4,6666,001,0001,2DF,02FA
2EB,0480,2EC,0480,2EB,0480,000,02EB,B333,00A,1010
2EC,F401,2ED,F401,2EC,F401,000,02EC,B333,00A,1010
2ED,CE04,2F2,CE04,2ED,02F2,000,0004,B333,00A,1010
2F2,82E0,2F4,82E0,2E0,0000,000,FFFF,B333,00A,1010,2E0,0000
2F4,0100,2F5,0100,2F4,0100,000,02F4,B333,00A,1010
